src_signal_id,employee_src_id,signal_code,signal_name,signal_group,signal_value_num,signal_value_text,detected_at,signal_status,source_system,load_dttm,batch_id
DS-0000001,E00335,COMPENSATION_GAP,Риск из-за уровня компенсации,COMPENSATION,4.9423,Требует внимания HRBP,2024-06-24 11:30:24,PENDING,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000002,E00297,ROLE_STAGNATION,Карьерная стагнация,CAREER,4.0664,Требует внимания HRBP,2024-03-17 23:42:59,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000003,E00362,COMPENSATION_GAP,Риск из-за уровня компенсации,COMPENSATION,1.0386,Сигнал выявлен автоматически,2024-02-08 05:40:03,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000004,E00415,COMPENSATION_GAP,Риск из-за уровня компенсации,COMPENSATION,0.5518,Нужна дополнительная проверка,2024-08-19 01:21:33,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000005,E00318,LOW_ENGAGEMENT,Снижение вовлечённости,ENGAGEMENT,1.541,Нужна дополнительная проверка,2024-01-11 21:12:59,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000006,E00323,MANAGER_CONFLICT,Конфликт с руководителем,RELATIONS,0.8007,Подтверждён руководителем,2024-07-07 21:13:53,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000007,E00046,MARKET_ACTIVITY,Активность на рынке труда,ATTRITION,1.2064,Подтверждён руководителем,2024-07-01 22:31:58,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000008,E00317,ROLE_STAGNATION,Карьерная стагнация,CAREER,3.3663,Подтверждён руководителем,2024-09-03 20:09:31,CLOSED,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000009,E01825,LOW_ENGAGEMENT,Снижение вовлечённости,ENGAGEMENT,4.5088,Требует внимания HRBP,2024-12-28 14:05:55,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000010,E02268,COMPENSATION_GAP,Риск из-за уровня компенсации,COMPENSATION,1.6272,Нужна дополнительная проверка,2024-02-07 21:17:29,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000011,E00082,MANAGER_CONFLICT,Конфликт с руководителем,RELATIONS,4.8026,Требует внимания HRBP,2024-04-20 22:13:20,PENDING,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000012,E00086,LOW_ENGAGEMENT,Снижение вовлечённости,ENGAGEMENT,4.1076,Нужна дополнительная проверка,2024-06-05 08:53:46,PENDING,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000013,E00833,COMPENSATION_GAP,Риск из-за уровня компенсации,COMPENSATION,2.8171,Подтверждён руководителем,2024-09-01 17:05:33,PENDING,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000014,E01571,MANAGER_CONFLICT,Конфликт с руководителем,RELATIONS,3.9771,Сигнал выявлен автоматически,2024-09-13 23:20:44,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000015,E00065,MARKET_ACTIVITY,Активность на рынке труда,ATTRITION,4.0447,Сигнал выявлен автоматически,2024-02-25 01:28:40,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
DS-0000016,E00178,ROLE_STAGNATION,Карьерная стагнация,CAREER,3.5302,Подтверждён руководителем,2024-01-31 22:42:56,ACTIVE,hr_attrition_monitor,2024-12-31 10:00:00,hr_batch_001
